"COU","Country","CORP_TAX","Corporate income tax rate","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011","PC","Percentage","0","Units",,,15,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012","PC","Percentage","0","Units",,,15,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013","PC","Percentage","0","Units",,,15,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014","PC","Percentage","0","Units",,,15,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015","PC","Percentage","0","Units",,,15,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016","PC","Percentage","0","Units",,,15,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017","PC","Percentage","0","Units",,,15,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2018","2018","PC","Percentage","0","Units",,,20,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2019","2019","PC","Percentage","0","Units",,,20,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2020","2020","PC","Percentage","0","Units",,,20,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2021","2021","PC","Percentage","0","Units",,,20,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2022","2022","PC","Percentage","0","Units",,,20,,
"LVA","Latvia","COMB_CIT_RATE","Combined corporate income tax rate","2023","2023","PC","Percentage","0","Units",,,20,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000","PC","Percentage","0","Units",,,40.17,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001","PC","Percentage","0","Units",,,40.17,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002","PC","Percentage","0","Units",,,40.17,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003","PC","Percentage","0","Units",,,33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004","PC","Percentage","0","Units",,,33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005","PC","Percentage","0","Units",,,33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006","PC","Percentage","0","Units",,,35.97,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007","PC","Percentage","0","Units",,,33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008","PC","Percentage","0","Units",,,33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009","PC","Percentage","0","Units",,,33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010","PC","Percentage","0","Units",,,33.99,,
